SKU,Style,Color,Category,Size
JNE3797-KR-XXL,JNE3797,Orange,Western Dress,XXL
JNE3636-KR-XS,JNE3636,Green,kurta,XS
JNE3797-KR-M,JNE3797,Green,Western Dress,M
J0341-DR-S,J0341,Yellow,Western Dress,S
JNE3800-KR-XXL,JNE3800,Brown,Western Dress,XXL
SET327-KR-DPT-M,SET327,Red,Set,M
JNE3800-KR-S,JNE3800,Brown,Western Dress,S
JNE3781-KR-S,JNE3781,Brown,kurta,S
JNE3691-TU-L,JNE3691,Yellow,Top,L
JNE3798-KR-L,JNE3798,White,Western Dress,L
JNE3684-TU-XS,JNE3684,White,Top,XS
JNE3438-KR-L,JNE3438,Green,kurta,L
SET196-KR-NP-XL,SET196,Orange,Set,XL
JNE3801-KR-XL,JNE3801,Green,kurta,XL
J0283-SET-XXL,J0283,Yellow,Set,XXL
JNE3487-KR-XXL,JNE3487,Yellow,kurta,XXL
SET286-KR-NP-XS,SET286,Purple,Set,XS
SET287-KR-NP-XS,SET287,White,Set,XS
JNE3437-KR-L,JNE3437,Green,kurta,L
JNE3797-KR-XL,JNE3797,Yellow,Western Dress,XL
J0413-DR-M,J0413,Green,Western Dress,M
JNE3486-KR-XXL,JNE3486,Purple,kurta,XXL
JNE3429-KR-XXL,JNE3429,Green,kurta,XXL
J0285-SKD-XXL,J0285,Green,Set,XXL
JNE3373-KR-XXXL,JNE3373,Green,kurta,3XL
SET392-KR-NP-M,SET392,Green,Set,M
JNE3797-KR-S,JNE3797,Green,Western Dress,S
JNE3659-TP-N-XXL,JNE3659,Orange,Top,XXL
J0148-SET-XL,J0148,Brown,Set,XL
JNE3614-KR-XXL,JNE3614,Blue,kurta,XXL
JNE3797-KR-A-L,JNE3797,Brown,Western Dress,L
J0158-DR-L,J0158,Orange,Western Dress,L
J0097-KR-M,J0097,Green,kurta,M
SET144-KR-NP-XXXL,SET144,White,Set,3XL
JNE3618-KR-M,JNE3618,White,kurta,M
JNE3738-KR-M,JNE3738,White,kurta,M
JNE3785-KR-XXXL,JNE3785,Green,kurta,3XL
SET395-KR-NP-L,SET395,White,Set,L
SET444-KR-SH-M,SET444,Purple,Set,M
J0342-TP-XXL,J0342,Yellow,Top,XXL
NW012-TP-PJ-M,NW012,Blue,Set,M
J0385-KR-M,J0385,Green,kurta,M
SET322-KR-SHA-M,SET322,Orange,Set,M
JNE3761-KR-L,JNE3761,Green,kurta,L
SET203-KR-DPT-L,SET203,Red,Set,L
JNE3160-KR-S,JNE3160,White,kurta,S
J0098-TP-XXL,J0098,Blue,Top,XXL
SET327-KR-DPT-L,SET327,Purple,Set,L
J0062-DR-M,J0062,Purple,Western Dress,M
SET359-KR-NP-XL,SET359,Red,Set,XL
JNE3781-KR-L,JNE3781,Red,kurta,L
JNE3376-KR-XXXL,JNE3376,Green,kurta,3XL
JNE3742-KR-L,JNE3742,Black,kurta,L
J0157-DR-XXL,J0157,Red,Western Dress,XXL
J0142-KR-M,J0142,Blue,kurta,M
J0230-SKD-XXL,J0230,Blue,Set,XXL
JNE3789-KR-XXXL,JNE3789,Red,kurta,3XL
SET345-KR-NP-M,SET345,Yellow,Set,M
JNE3887-KR-L,JNE3887,Red,kurta,L
J0012-SKD-XS,J0012,Blue,Set,XS
SET414-KR-NP-XXXL,SET414,Green,Set,3XL
SET322-KR-SHA-XXXL,SET322,Yellow,Set,3XL
PJNE3440-KR-N-6XL,PJNE3440,Blue,kurta,6XL
JNE3675-TU-XXXL,JNE3675,White,Top,3XL
J0165-TP-M,J0165,Green,Top,M
JNE3798-KR-M,JNE3798,Red,Western Dress,M
MEN5032-KR-S,MEN5032,Purple,kurta,S
SET345-KR-NP-S,SET345,Brown,Set,S
J0297-TP-L,J0297,Blue,Top,L
JNE3835-KR-XL,JNE3835,White,kurta,XL
JNE3437-KR-XL,JNE3437,Purple,kurta,XL
JNE3787-KR-XS,JNE3787,Green,kurta,XS
JNE3797-KR-A-XS,JNE3797,White,Western Dress,XS
JNE3516-KR-E-L,JNE3516,White,kurta,L
JNE3734-KR-XXXL,JNE3734,Yellow,kurta,3XL
JNE3880-DR-XXXL,JNE3880,Blue,Western Dress,3XL
JNE3665-TP-M,JNE3665,White,Top,M
J0117-TP-M,J0117,Blue,Top,M
SET327-KR-DPT-XXXL,SET327,Red,Set,3XL
JNE3479-KR-XXL,JNE3479,Orange,kurta,XXL
MEN5015-KR-L,MEN5015,Green,kurta,L
JNE3468-KR-L,JNE3468,White,kurta,L
SET389-KR-NP-XL,SET389,Green,Set,XL
JNE3887-KR-XS,JNE3887,Brown,kurta,XS
J0285-SKD-L,J0285,Black,Set,L
JNE3613-KR-S,JNE3613,Green,kurta,S
JNE3449-KR-M,JNE3449,Purple,kurta,M
SET390-KR-NP-L,SET390,Orange,Set,L
J0096-KR-XXXL,J0096,Green,kurta,3XL
MEN5004-KR-XXXL,MEN5004,Orange,kurta,3XL
J0376-SKD-XL,J0376,Red,Set,XL
SET444-KR-SH-L,SET444,Black,Set,L
JNE3811-KR-M,JNE3811,Orange,kurta,M
JNE3716-KR-M,JNE3716,Purple,kurta,M
JNE3651-TP-N-M,JNE3651,Green,Top,M
J0216-BL-XXL,J0216,Yellow,Blouse,XXL
JNE2305-KR-533-XL,JNE2305,Yellow,kurta,XL
JNE3468-KR-XL,JNE3468,Purple,kurta,XL
JNE3775-KR-XL,JNE3775,Green,kurta,XL
JNE3603-KR-XL,JNE3603,Yellow,kurta,XL
JNE3613-KR-XS,JNE3613,Blue,kurta,XS
JNE3688-TU-L,JNE3688,Green,Top,L
JNE3566-KR-L,JNE3566,Brown,kurta,L
JNE3716-KR-XXXL,JNE3716,Yellow,kurta,3XL
JNE3487-KR-M,JNE3487,Brown,kurta,M
MEN5015-KR-XXL,MEN5015,Purple,kurta,XXL
SET286-KR-NP-S,SET286,Black,Set,S
JNE3763-KR-XXXL,JNE3763,Blue,kurta,3XL
SET209-KR-PP-S,SET209,Orange,Set,S
NW030-TP-PJ-L,NW030,White,Set,L
JNE3864-TU-XXL,JNE3864,White,Top,XXL
J0189-TP-XXL,J0189,Purple,Top,XXL
SET357-KR-NP-XXL,SET357,Purple,Set,XXL
JNE3837-KR-L,JNE3837,Black,kurta,L
J0003-SET-XXXL,J0003,Orange,Set,3XL
SET345-KR-NP-L,SET345,Purple,Set,L
JNE3487-KR-L,JNE3487,Orange,kurta,L
JNE3880-DR-M,JNE3880,Purple,Western Dress,M
SET246-KR-PP-M,SET246,Yellow,Set,M
JNE3373-KR-S,JNE3373,Brown,kurta,S
JNE3421-KR-XXL,JNE3421,Red,kurta,XXL
SET278-KR-NP-L,SET278,Green,Set,L
NW014-ST-SR-M,NW014,White,Set,M
SET044-KR-NP-XXXL,SET044,Green,Set,3XL
JNE3601-KR-XL,JNE3601,Yellow,kurta,XL
JNE3484-KR-XL,JNE3484,Green,kurta,XL
SET182-KR-DH-M,SET182,Yellow,Set,M
JNE3670-TU-XL,JNE3670,Red,Top,XL
JNE3797-KR-L,JNE3797,Orange,Western Dress,L
SET304-KR-DPT-L,SET304,Blue,Set,L
J0351-SET-XL,J0351,Yellow,Set,XL
JNE3861-DR-S,JNE3861,Purple,Western Dress,S
JNE3724-KR-M,JNE3724,Green,kurta,M
JNE3373-KR-XXL,JNE3373,Green,kurta,XXL
J0345-SET-XXXL,J0345,Green,Set,3XL
