Order_ID,ship_postal_code,Quantity
171-9918163-5396330,249408,1
406-0556934-4608363,410405,1
408-9438950-1286737,517127,1
171-1019440-1263518,700156,1
171-3215997-9845942,249408,1
407-4313531-9038767,575014,1
404-5545664-9871540,560051,1
407-4162802-9137132,679102,1
408-3116129-2000351,781335,1
405-4198621-5464349,500024,1
403-3523206-6850756,400603,1
407-0038659-0625940,201306,1
406-7274364-9461111,560077,1
403-0176285-9325126,400006,1
407-5797861-3428325,600032,1
171-2167332-2298728,759122,1
406-5407377-2423541,560068,1
406-2093090-0448363,560068,1
404-5621888-1216352,201009,1
402-6797751-2261148,462003,1
402-3666308-9956330,534406,1
403-2962411-0942717,250004,1
407-4176879-6571509,518502,0
171-1527731-1523559,560068,1
405-4164644-4606718,576101,1
406-4556619-3990733,751003,1
407-1408251-4150765,793003,1
171-4997988-5760352,394270,1
403-3750512-1998749,250004,1
407-1580850-5233959,122001,1
406-5924131-1357156,635002,1
405-1966462-5293108,641006,1
406-0178997-7496317,562114,1
407-9554545-5274738,400601,1
407-7926766-7601961,400095,1
402-2565236-1201945,244001,1
405-9238979-4709912,700086,1
408-3040375-7142738,812002,1
402-0889566-3202711,560062,1
404-9509429-1100360,500084,1
404-9269001-8460318,462030,1
404-5722715-0872304,751012,1
404-7904459-2005156,500084,1
405-2987514-5423533,421501,1
405-1264833-6930766,421004,1
407-6642471-2656307,732201,1
405-4486939-1624369,110045,0
405-4049869-1624315,560005,1
404-2093011-6135513,743329,1
403-6981315-2142763,383410,1
406-5282106-0629140,492006,1
408-5097895-3420349,403713,1
171-9466420-2681150,440018,1
404-3407352-9257141,600125,1
405-9954000-3547510,282005,1
408-8226082-5202723,383421,1
402-1980078-2957907,700039,1
171-1364436-6646703,440018,1
171-2226079-5255502,421204,1
404-4382011-4681149,560062,0
403-4019852-0431536,500010,1
407-1726493-1589113,132103,1
406-9693145-4925937,560068,0
406-3412504-2471555,560068,0
171-8188193-6017144,834009,1
406-5418776-1588357,400601,1
171-6438077-5101921,500084,1
171-0714886-3678753,500084,1
402-7206259-7332361,122003,1
402-1527622-0470738,411023,1
402-9162266-1973154,182301,1
406-7464180-9175528,632602,1
408-3182429-1357153,450001,1
402-5320101-8307554,581334,1
403-4420819-3530728,753008,1
402-5959272-1271533,638001,1
406-3041931-0742730,201310,1
402-1216814-3932356,638001,0
407-1412447-0282762,395004,1
402-4834760-4168365,530011,1
402-8420836-0737147,686008,1
402-6474846-1741910,680681,1
405-0942916-8661925,141401,1
402-0161439-5558760,249407,1
408-5477809-9028343,600045,1
171-2891512-9517146,400093,1
171-8828094-3428307,201309,1
171-8180864-7814728,360006,1
403-5372086-2018759,226016,1
171-8147809-2722723,517503,1
407-0965933-2123508,400604,1
171-4599293-8087510,700156,1
402-4578867-3853107,571105,1
404-2896128-3436353,560066,1
406-4314377-0600356,560032,1
407-5624282-7246765,500086,1
407-3439616-8667531,442701,1
402-1606210-2851522,560068,1
406-8348582-7350756,846004,1
404-1083925-0229925,431001,1
402-9414989-2958715,122102,1
405-5297172-0801945,415508,1
404-9021029-6354765,500046,1
406-4487110-6433165,848302,1
406-4476767-1577901,848302,1
406-0675253-7019544,848302,1
402-6149803-4991502,673323,1
406-4313407-0595535,816107,1
406-5308133-1485101,400049,1
171-7546060-1748341,834003,1
171-5706101-8377115,834003,1
405-8502390-4892369,520007,1
402-2952789-8681963,560078,1
408-2481787-8248368,500075,0
407-2821894-4542738,421501,1
407-3521218-6961110,400101,1
405-0628903-0749146,700001,1
406-3528586-9409135,249403,1
406-7522239-7644307,110092,0
402-0779723-3093169,402107,1
406-4403744-7138756,201009,1
407-7752324-1981925,847215,1
405-1961798-8741153,122006,1
408-7821819-6780345,678001,1
408-3116952-4952364,421503,1
403-0548449-3457120,242001,1
405-5364953-2351516,508213,1
171-5493338-1153162,440001,1
408-3176301-0306701,700040,1
407-3618533-3827541,160022,1
407-8651139-4766769,411023,1
408-1010609-6207561,123401,1
408-3541795-7931526,400615,1
402-0359535-1804377,273003,1
405-1569233-1371560,413712,1
405-3336997-2474744,208014,1
406-3993495-4107559,226002,1
171-0036236-3921935,110005,1
405-2106143-6272325,560049,1
404-2486874-3064315,122003,1
408-5921841-7921926,401107,1
405-4851911-9139548,673001,1
402-5901921-3102767,600097,1
171-4140106-9145107,678001,1
408-9013340-4781902,141001,1
402-6184263-6332361,632401,1
408-7055369-7453959,700094,1
406-6559859-6686762,110031,1
171-8290434-5636320,201304,1
403-7333983-4745115,560017,1
403-5611790-6112332,413003,1
404-7123687-7375555,500003,1
171-0278108-5927522,474005,1
402-8183711-8649955,400081,1
404-1600597-9581902,262903,1
404-9527406-0759550,560051,1
405-9933186-2431545,500032,1
408-6330786-7102726,560076,1
405-9216267-2108307,721126,1
403-0175718-0112372,110092,1
404-9771865-7430718,605007,1
404-9683809-0005156,605007,1
404-1577746-5870718,605007,1
171-0294490-8461140,110034,1
406-1853806-0661166,500084,1
171-7181239-4252331,600042,1
171-8997130-3005134,411044,1
406-2239189-1880339,110034,1
405-7876120-3400318,403510,1
407-2467502-7449117,400072,1
403-2406597-2725926,231208,1
171-4031573-3733940,679563,1
403-7199736-1093952,751022,1
408-6339014-6185968,416235,1
171-5433003-1080351,679563,1
404-2124632-6533915,210001,1
407-6380081-7353133,401201,1
402-3993351-3446726,530012,1
403-8771333-5539519,737126,1
407-4700619-0605102,600004,1
404-0605969-9103565,600033,1
407-4239702-2669926,629851,1
407-5664784-5123555,800003,1
407-7234191-8796322,560001,1
405-4007435-2615556,110071,1
403-2870755-5337921,400101,1
408-1992903-4840342,641024,1
408-7279788-8320331,122001,1
408-1660883-7704312,516360,1
408-4104547-1752318,422009,1
407-9004848-0297160,400076,1
404-4938668-9369913,244001,1
171-3795888-3790745,500095,1
402-9732371-3573103,110075,1
402-5789132-5926724,182301,0
403-2562365-4169166,110009,1
407-4836305-8521132,421201,1
405-8375407-8962723,110029,1
404-2475630-3600333,686562,1
406-7076122-1215551,600005,1
403-5740277-2061125,110027,1
403-1484890-7217169,401209,1
408-3337365-4961143,700156,1
403-8133561-8489906,841226,1
408-4944588-9707503,246731,1
407-2910865-3609942,713301,1
171-2553214-0313115,110008,1
171-5535672-4787531,400053,1
406-8971208-1589145,211013,1
405-4443320-0395517,711102,1
171-2308697-1799550,508001,1
171-2645438-2529140,581342,1
405-8695046-6265145,400008,1
404-0291520-3568328,560030,1
407-8822697-2190761,788006,1
171-2953751-8206709,799260,1
408-0763247-8520350,680651,1
402-2932535-7144341,226020,1
402-1857810-6259541,793001,1
403-3989086-0884335,411027,1
405-7237408-0216306,781005,1
408-4088229-2598741,400061,1
403-8512624-0554733,611105,2
408-3447928-8710752,415002,1
408-2964501-8373155,415002,1
403-6582381-7741907,248001,1
403-3982692-4231502,401209,0
406-3380662-9728336,533296,0
408-0218295-0109946,641031,1
171-0714383-2297906,505468,1
405-4308906-5010753,797001,1
406-3141563-3097110,500030,1
407-9754321-3661925,831018,1
403-1324735-8563520,721607,1
402-7140748-1055556,400053,1
405-6456056-1114748,400008,1
402-3660009-7892314,600014,1
405-7043487-6361128,711103,1
408-6272931-2872359,641031,1
404-2056073-2238716,608002,1
405-9433856-1233923,560049,1
402-2465163-9329126,600014,0
404-0646999-7038726,122018,1
171-2679147-8385914,560100,1
405-0724468-5227561,400615,1
402-2975845-7661945,500058,1
407-8658962-7591524,530011,1
406-4397794-8950742,560078,1
402-1067136-1825927,700135,1
407-9293455-6689958,411030,1
406-7417754-0316342,629004,1
171-5438821-7073127,403601,1
405-1079605-0689163,700102,1
404-5949272-7217918,500044,1
171-4761540-9641109,608601,1
171-6944050-5791563,781007,1
402-7256042-9732327,492015,1
408-8599854-8649142,411027,1
404-7485212-8290742,140301,1
407-8044963-3562744,201012,1
171-0106620-2575543,380015,1
171-0014231-7760344,380015,1
403-1130747-3793901,211002,1
404-3284275-2393927,781029,1
402-4608308-1147564,606701,1
402-9038102-6701950,607106,1
404-3630643-7349952,134117,1
406-2102460-3732327,700048,1
402-8336524-9593148,276136,1
402-9857684-4958723,500068,1
406-1610096-5123523,462038,1
405-8182350-4593961,600021,1
171-0667971-2811550,636102,1
405-0612655-0441966,411018,1
408-4603733-5481150,400614,1
171-2616348-1042702,600097,1
408-0590867-1581969,600091,1
171-3953058-7177924,515591,1
404-4707992-5701928,180002,1
405-2182124-9135511,400067,1
405-3895167-8955515,605010,1
171-9516291-8133150,560022,1
171-6282416-9160308,560022,1
406-2963392-4625162,415612,1
408-2624135-2103506,800006,1
408-0221300-1497937,671319,1
408-8522375-5486758,400094,1
171-7847300-5210753,110015,1
406-9961413-3315522,570016,1
406-7074371-7754716,570016,1
403-8160966-6969134,500056,1
405-2046371-6783536,362220,1
171-3563242-3937103,400037,1
407-8203016-3301965,500010,1
403-2594054-2491525,500029,1
408-0290780-7219508,421301,1
407-8915211-4389169,500044,1
407-0239492-8430746,560067,1
406-2842959-7327526,201309,1
405-9152425-3063535,400054,1
171-9826680-1321168,691577,1
406-5124752-0191544,384265,1
404-2915115-4120362,560016,1
408-5057837-4262765,500034,1
405-8042155-1489153,400612,1
405-9422418-9209916,226010,1
405-6628868-6486701,641044,1
171-3011583-2245967,400104,1
404-6992888-8901130,110077,1
171-2582729-9748363,400605,1
402-4362693-1270734,743272,1
171-9438404-6338721,411020,1
408-7597576-7141957,502032,1
403-6201490-5155555,400610,1
408-1876400-4507533,686562,1
171-2865822-8208317,575006,1
407-8311590-1101937,180005,1
407-8156698-6909161,180005,1
408-0064612-3599564,221002,1
171-6202792-2373910,680104,1
405-6243176-1607561,380051,1
404-6212188-6558768,620102,1
404-6655175-9021124,500081,1
408-1183855-5512366,560078,1
404-3779427-9271547,462023,1
406-6091421-4054736,400060,1
402-6165474-5164365,250341,1
171-1076007-9658755,560103,1
404-7708906-5489129,799006,1
407-1897646-4645906,431001,1
404-9644480-5985908,248001,1
405-3321941-7605965,402110,1
407-3214538-7679539,110018,1
404-1688942-4084343,573201,1
407-2688982-0165102,412409,0
403-1012667-8320346,560033,1
406-3333555-1973130,400072,1
406-3457660-7780325,603002,1
405-2493300-0792334,600056,1
402-5209770-8937165,401601,1
404-8059349-6110751,143530,1
406-3590993-5363569,110059,1
404-9159101-2329924,110059,1
408-0569703-2829911,500090,1
408-8495209-0089917,500046,1
402-7046051-1597953,400101,1
402-6931239-0331527,440018,0
171-7354232-8142710,523001,1
171-4573464-5557100,523001,1
407-8655822-9303505,700079,1
171-3739098-8680340,380005,1
402-3374098-2592346,793002,1
407-1908701-9727556,752050,1
171-8518235-0004369,689504,1
403-7106465-8186704,400071,1
407-7695791-8773132,226014,1
405-0419042-4801131,530003,1
404-1162481-0061935,580024,1
402-9618182-2877917,560028,1
402-0262366-0513120,122004,1
403-9497932-1051523,625706,1
408-4657300-5488337,560066,1
403-3983318-6882700,759001,1
407-8286745-0623565,600130,1
404-5344790-9889152,695035,1
406-6655264-7622719,600044,1
402-1851298-4940368,411033,1
406-2412678-0640324,600044,1
403-2613442-2966738,248001,1
408-1772932-3342718,760001,1
406-4367267-1380324,400078,1
407-8143816-4346706,410206,1
408-2005311-6389126,760001,1
171-7772888-9085957,800007,1
171-0661125-1138738,533005,1
406-2049073-5707561,641037,1
408-1425188-0453134,781018,1
407-2201526-9034739,201307,1
408-1861659-5229932,760001,1
404-8200477-0943519,400605,1
171-1996741-4374731,673004,1
