ship_postal_code,ship_country,ship_state,ship_city
249408,IN,UTTARAKHAND,HARIDWAR
410405,IN,MAHARASHTRA,LONAVALA
517127,IN,ANDHRA PRADESH,MURAKAMBATTU
700156,IN,WEST BENGAL,Kolkata
575014,IN,KARNATAKA,Surathkal
560051,IN,KARNATAKA,BENGALURU
679102,IN,KERALA,OTTAPPALAM
781335,IN,ASSAM,NALBARI
500024,IN,TELANGANA,HYDERABAD
400603,IN,MAHARASHTRA,THANE
201306,IN,UTTAR PRADESH,GREATER NOIDA
560077,IN,KARNATAKA,BENGALURU
400006,IN,MAHARASHTRA,MUMBAI
600032,IN,TAMIL NADU,CHENNAI
759122,IN,ODISHA,ANUGUL
560068,IN,KARNATAKA,BENGALURU
201009,IN,UTTAR PRADESH,GHAZIABAD
462003,IN,MADHYA PRADESH,Bhopal
534406,IN,ANDHRA PRADESH,UNGUTURU
250004,IN,UTTAR PRADESH,MEERUT
518502,IN,ANDHRA PRADESH,NANDYAL
576101,IN,KARNATAKA,UDUPI
751003,IN,ODISHA,BHUBANESWAR
793003,IN,MEGHALAYA,Shillong
394270,IN,Gujarat,SURAT
122001,IN,HARYANA,GURUGRAM
635002,IN,TAMIL NADU,KRISHNAGIRI
641006,IN,TAMIL NADU,COIMBATORE
562114,IN,KARNATAKA,Hoskote
400601,IN,MAHARASHTRA,THANE
400095,IN,MAHARASHTRA,MUMBAI
244001,IN,UTTAR PRADESH,MORADABAD
700086,IN,WEST BENGAL,KOLKATA
812002,IN,BIHAR,BHAGALPUR
560062,IN,KARNATAKA,BANGALORE
500084,IN,TELANGANA,HYDERABAD
462030,IN,MADHYA PRADESH,BHOPAL
751012,IN,ODISHA,BHUBANESWAR
421501,IN,MAHARASHTRA,AMBARNATH
421004,IN,MAHARASHTRA,KALYAN
732201,IN,WEST BENGAL,KALIACHAK
110045,IN,DELHI,NEW DELHI
560005,IN,KARNATAKA,BENGALURU
743329,IN,WEST BENGAL,MATLA
383410,IN,Gujarat,Idar
492006,IN,CHHATTISGARH,RAIPUR
403713,IN,GOA,SOUTH GOA
440018,IN,MAHARASHTRA,Nagpur
600125,IN,TAMIL NADU,CHENNAI
282005,IN,UTTAR PRADESH,Agra
383421,IN,Gujarat,IDAR
700039,IN,WEST BENGAL,KOLKATA
421204,IN,MAHARASHTRA,KALYAN
500010,IN,TELANGANA,Secunderabad
132103,IN,HARYANA,PANIPAT
834009,IN,JHARKHAND,RANCHI
122003,IN,HARYANA,GURUGRAM
411023,IN,MAHARASHTRA,PUNE
182301,IN,JAMMU & KASHMIR,KATRA
632602,IN,TAMIL NADU,GUDIYATHAM
450001,IN,MADHYA PRADESH,KHANDWA
581334,IN,KARNATAKA,honnavar
753008,IN,ODISHA,CUTTACK
638001,IN,TAMIL NADU,ERODE
201310,IN,UTTAR PRADESH,GREATER NOIDA
395004,IN,Gujarat,SURAT
530011,IN,ANDHRA PRADESH,VISAKHAPATNAM
686008,IN,KERALA,PERUMBAIKAD
680681,IN,KERALA,KAIPAMANGALAM
141401,IN,PUNJAB,KHANNA
249407,IN,UTTARAKHAND,HARIDWAR
600045,IN,TAMIL NADU,CHENNAI
400093,IN,MAHARASHTRA,MUMBAI
201309,IN,UTTAR PRADESH,NOIDA
360006,IN,Gujarat,RAJKOT
226016,IN,UTTAR PRADESH,LUCKNOW
517503,IN,ANDHRA PRADESH,TIRUPATI
400604,IN,MAHARASHTRA,THANE
571105,IN,KARNATAKA,HUNSUR
560066,IN,KARNATAKA,BENGALURU
560032,IN,KARNATAKA,BENGALURU
500086,IN,TELANGANA,HYDERABAD
442701,IN,MAHARASHTRA,BALLARPUR
846004,IN,Bihar,darbhanga
431001,IN,MAHARASHTRA,AURANGABAD
122102,IN,HARYANA,Gurugram
415508,IN,MAHARASHTRA,DAHIVADI
500046,IN,TELANGANA,HYDERABAD
848302,IN,BIHAR,SAMASTIPUR
673323,IN,KERALA,KOZHIKODE
816107,IN,JHARKHAND,PAKAUR
400049,IN,MAHARASHTRA,MUMBAI
834003,IN,JHARKHAND,RANCHI
520007,IN,ANDHRA PRADESH,VIJAYAWADA
560078,IN,KARNATAKA,BENGALURU
500075,IN,TELANGANA,HYDERABAD
400101,IN,MAHARASHTRA,MUMBAI
700001,IN,WEST BENGAL,KOLKATA
249403,IN,UTTARAKHAND,SIDCUL HARIDWAR
110092,IN,DELHI,NEW DELHI
402107,IN,MAHARASHTRA,PEN
847215,IN,BIHAR,MADHUBANI
122006,IN,HARYANA,GURUGRAM
678001,IN,KERALA,PALAKKAD
421503,IN,MAHARASHTRA,BADLAPUR
242001,IN,UTTAR PRADESH,SHAHJAHANPUR
508213,IN,TELANGANA,Suryapet (town) suryapet (dist)
440001,IN,MAHARASHTRA,NAGPUR
700040,IN,WEST BENGAL,KOLKATA
160022,IN,CHANDIGARH,CHANDIGARH
123401,IN,HARYANA,Rewari
400615,IN,MAHARASHTRA,Thane
273003,IN,UTTAR PRADESH,GORAKHPUR
