OrderID,SKU
171-9918163-5396330,JNE3797-KR-XXL
406-0556934-4608363,JNE3636-KR-XS
408-9438950-1286737,JNE3797-KR-M
171-1019440-1263518,J0341-DR-S
171-3215997-9845942,JNE3800-KR-XXL
407-4313531-9038767,SET327-KR-DPT-M
404-5545664-9871540,JNE3800-KR-S
407-4162802-9137132,JNE3781-KR-S
408-3116129-2000351,JNE3691-TU-L
405-4198621-5464349,JNE3798-KR-L
403-3523206-6850756,JNE3684-TU-XS
407-0038659-0625940,JNE3438-KR-L
406-7274364-9461111,SET196-KR-NP-XL
403-0176285-9325126,JNE3801-KR-XL
407-5797861-3428325,JNE3797-KR-XXL
171-2167332-2298728,J0283-SET-XXL
406-5407377-2423541,JNE3487-KR-XXL
406-2093090-0448363,JNE3797-KR-XXL
404-5621888-1216352,SET286-KR-NP-XS
404-5621888-1216352,SET287-KR-NP-XS
402-6797751-2261148,JNE3437-KR-L
402-3666308-9956330,JNE3797-KR-XL
403-2962411-0942717,J0413-DR-M
407-4176879-6571509,JNE3486-KR-XXL
407-4176879-6571509,JNE3429-KR-XXL
171-1527731-1523559,J0285-SKD-XXL
405-4164644-4606718,JNE3373-KR-XXXL
406-4556619-3990733,SET392-KR-NP-M
407-1408251-4150765,JNE3800-KR-S
407-1408251-4150765,JNE3797-KR-S
171-4997988-5760352,JNE3659-TP-N-XXL
403-3750512-1998749,J0413-DR-M
407-1580850-5233959,J0148-SET-XL
406-5924131-1357156,JNE3614-KR-XXL
405-1966462-5293108,JNE3797-KR-A-L
406-0178997-7496317,JNE3373-KR-XXXL
407-9554545-5274738,J0158-DR-L
407-7926766-7601961,J0097-KR-M
402-2565236-1201945,SET144-KR-NP-XXXL
405-9238979-4709912,JNE3618-KR-M
405-9238979-4709912,JNE3738-KR-M
408-3040375-7142738,JNE3785-KR-XXXL
402-0889566-3202711,SET395-KR-NP-L
404-9509429-1100360,SET444-KR-SH-M
404-9269001-8460318,J0342-TP-XXL
404-5722715-0872304,NW012-TP-PJ-M
404-7904459-2005156,J0385-KR-M
405-2987514-5423533,SET322-KR-SHA-M
405-1264833-6930766,JNE3761-KR-L
405-1264833-6930766,SET203-KR-DPT-L
407-6642471-2656307,JNE3160-KR-S
405-4486939-1624369,J0098-TP-XXL
405-4049869-1624315,SET327-KR-DPT-L
404-2093011-6135513,J0062-DR-M
403-6981315-2142763,SET359-KR-NP-XL
406-5282106-0629140,SET392-KR-NP-M
408-5097895-3420349,JNE3781-KR-L
171-9466420-2681150,JNE3376-KR-XXXL
404-3407352-9257141,JNE3742-KR-L
405-9954000-3547510,J0157-DR-XXL
408-8226082-5202723,J0142-KR-M
402-1980078-2957907,J0230-SKD-XXL
171-1364436-6646703,JNE3789-KR-XXXL
171-2226079-5255502,SET345-KR-NP-M
404-4382011-4681149,JNE3887-KR-L
403-4019852-0431536,J0012-SKD-XS
407-1726493-1589113,SET144-KR-NP-XXXL
406-9693145-4925937,JNE3797-KR-XXL
406-3412504-2471555,JNE3487-KR-XXL
171-8188193-6017144,SET414-KR-NP-XXXL
406-5418776-1588357,SET322-KR-SHA-XXXL
171-6438077-5101921,SET444-KR-SH-M
171-0714886-3678753,J0385-KR-M
402-7206259-7332361,J0413-DR-M
402-1527622-0470738,PJNE3440-KR-N-6XL
402-9162266-1973154,JNE3675-TU-XXXL
406-7464180-9175528,J0165-TP-M
408-3182429-1357153,JNE3798-KR-M
402-5320101-8307554,MEN5032-KR-S
403-4420819-3530728,SET345-KR-NP-S
402-5959272-1271533,JNE3798-KR-L
406-3041931-0742730,J0297-TP-L
402-1216814-3932356,JNE3798-KR-L
407-1412447-0282762,JNE3835-KR-XL
402-4834760-4168365,JNE3437-KR-XL
402-8420836-0737147,JNE3787-KR-XS
402-6474846-1741910,JNE3797-KR-A-XS
405-0942916-8661925,JNE3516-KR-E-L
402-0161439-5558760,JNE3734-KR-XXXL
408-5477809-9028343,SET345-KR-NP-M
171-2891512-9517146,JNE3797-KR-S
