SKU,Style,Category,Size,Color,Inventory
JNE3797-KR-XXL,JNE3797,Western Dress,XXL,Green,0
JNE3636-KR-XS,JNE3636,kurta,XS,Maroon,7
JNE3797-KR-M,JNE3797,Western Dress,M,Green,6
J0341-DR-S,J0341,Western Dress,S,Blue,441
JNE3800-KR-XXL,JNE3800,Western Dress,XXL,Mustard,0
SET327-KR-DPT-M,SET327,Set,M,Black,9
JNE3800-KR-S,JNE3800,Western Dress,S,Mustard,13
JNE3781-KR-S,JNE3781,kurta,S,Green,26
JNE3691-TU-L,JNE3691,Top,L,Maroon,9
JNE3798-KR-L,JNE3798,Western Dress,L,Teal,3
JNE3684-TU-XS,JNE3684,Top,XS,Red,9
JNE3438-KR-L,JNE3438,kurta,L,Light Green,3
SET196-KR-NP-XL,SET196,Set,XL,Red,40
JNE3801-KR-XL,JNE3801,kurta,XL,Pink,1
J0283-SET-XXL,J0283,Set,XXL,Grey,5
JNE3487-KR-XXL,JNE3487,kurta,XXL,Peach,13
SET286-KR-NP-XS,SET286,Set,XS,Maroon,31
SET287-KR-NP-XS,SET287,Set,XS,Teal,104
JNE3437-KR-L,JNE3437,kurta,L,Mustard,11
JNE3797-KR-XL,JNE3797,Western Dress,XL,Green,13
J0413-DR-M,J0413,Western Dress,M,MINT GREEN,1
JNE3486-KR-XXL,JNE3486,kurta,XXL,Light Green,97
JNE3429-KR-XXL,JNE3429,kurta,XXL,Light Green,13
J0285-SKD-XXL,J0285,Set,XXL,Grey,10
JNE3373-KR-XXXL,JNE3373,kurta,3XL,Black,36
SET392-KR-NP-M,SET392,Set,M,Peach,6
JNE3797-KR-S,JNE3797,Western Dress,S,Green,2
JNE3659-TP-N-XXL,JNE3659,Top,XXL,,0
J0148-SET-XL,J0148,Set,XL,Green,9
JNE3614-KR-XXL,JNE3614,kurta,XXL,TEAL GREEN ,39
JNE3797-KR-A-L,JNE3797,Western Dress,L,,0
J0158-DR-L,J0158,Western Dress,L,White,43
J0097-KR-M,J0097,kurta,M,Indigo,4
SET144-KR-NP-XXXL,SET144,Set,3XL,Pink,33
JNE3618-KR-M,JNE3618,kurta,M,Teal,9
JNE3738-KR-M,JNE3738,kurta,M,Green,59
JNE3785-KR-XXXL,JNE3785,kurta,3XL,CORAL ,4
SET395-KR-NP-L,SET395,Set,L,Sea Green,44
SET444-KR-SH-M,SET444,Set,M,Peach,34
J0342-TP-XXL,J0342,Top,XXL,Blue,61
NW012-TP-PJ-M,NW012,Set,M,Green,5
J0385-KR-M,J0385,kurta,M,Red,5
SET322-KR-SHA-M,SET322,Set,M,Maroon,4
JNE3761-KR-L,JNE3761,kurta,L,Olive Green,104
SET203-KR-DPT-L,SET203,Set,L,Maroon,8
JNE3160-KR-S,JNE3160,kurta,S,White,53
J0098-TP-XXL,J0098,Top,XXL,Mustard,5
SET327-KR-DPT-L,SET327,Set,L,Black,12
J0062-DR-M,J0062,Western Dress,M,Multicolor,4
SET359-KR-NP-XL,SET359,Set,XL,Navy Blue,10
JNE3781-KR-L,JNE3781,kurta,L,Green,86
JNE3376-KR-XXXL,JNE3376,kurta,3XL,Mustard,6
JNE3742-KR-L,JNE3742,kurta,L,Green,34
J0157-DR-XXL,J0157,Western Dress,XXL,Black,27
J0142-KR-M,J0142,kurta,M,Orange,7
J0230-SKD-XXL,J0230,Set,XXL,Blue,24
JNE3789-KR-XXXL,JNE3789,kurta,3XL,Teal,7
SET345-KR-NP-M,SET345,Set,M,Pink,49
JNE3887-KR-L,JNE3887,kurta,L,White,17
J0012-SKD-XS,J0012,Set,XS,Green,93
SET414-KR-NP-XXXL,SET414,Set,3XL,Navy Blue,34
SET322-KR-SHA-XXXL,SET322,Set,3XL,Maroon,11
PJNE3440-KR-N-6XL,PJNE3440,kurta,6XL,,0
JNE3675-TU-XXXL,JNE3675,Top,3XL,Pink,35
J0165-TP-M,J0165,Top,M,Orange,3
JNE3798-KR-M,JNE3798,Western Dress,M,Teal,2
MEN5032-KR-S,MEN5032,kurta,S,Blue,8
SET345-KR-NP-S,SET345,Set,S,Pink,266
J0297-TP-L,J0297,Top,L,White,1
JNE3835-KR-XL,JNE3835,kurta,XL,Black,25
JNE3437-KR-XL,JNE3437,kurta,XL,Mustard,31
JNE3787-KR-XS,JNE3787,kurta,XS,Blue,9
JNE3797-KR-A-XS,JNE3797,Western Dress,XS,,0
JNE3516-KR-E-L,JNE3516,kurta,L,,0
JNE3734-KR-XXXL,JNE3734,kurta,3XL,Sky Blue,18
JNE3880-DR-XXXL,JNE3880,Western Dress,3XL,Peach,17
JNE3665-TP-M,JNE3665,Top,M,Grey,39
J0117-TP-M,J0117,Top,M,White,126
SET327-KR-DPT-XXXL,SET327,Set,3XL,Black,49
JNE3479-KR-XXL,JNE3479,kurta,XXL,Black,12
MEN5015-KR-L,MEN5015,kurta,L,Pink,11
JNE3468-KR-L,JNE3468,kurta,L,Teal,200
SET389-KR-NP-XL,SET389,Set,XL,White,4
JNE3887-KR-XS,JNE3887,kurta,XS,White,39
J0285-SKD-L,J0285,Set,L,Grey,80
JNE3613-KR-S,JNE3613,kurta,S,Teal,259
JNE3449-KR-M,JNE3449,kurta,M,Black,4
SET390-KR-NP-L,SET390,Set,L,Light Green,2
J0096-KR-XXXL,J0096,kurta,3XL,Blue,88
MEN5004-KR-XXXL,MEN5004,kurta,3XL,Blue,2
J0376-SKD-XL,J0376,Set,XL,Pink,9
SET444-KR-SH-L,SET444,Set,L,Peach,28
JNE3811-KR-M,JNE3811,kurta,M,Navy Blue,6
JNE3716-KR-M,JNE3716,kurta,M,Teal,109
JNE3651-TP-N-M,JNE3651,Top,M,,0
J0216-BL-XXL,J0216,Blouse,XXL,Green,17
JNE2305-KR-533-XL,JNE2305,kurta,XL,Light Brown,284
JNE3468-KR-XL,JNE3468,kurta,XL,Teal,197
JNE3775-KR-XL,JNE3775,kurta,XL,Teal,59
JNE3603-KR-XL,JNE3603,kurta,XL,Wine,5
JNE3613-KR-XS,JNE3613,kurta,XS,Teal,192
JNE3688-TU-L,JNE3688,Top,L,Green,38
JNE3566-KR-L,JNE3566,kurta,L,Dark Green,11
JNE3716-KR-XXXL,JNE3716,kurta,3XL,Teal,129
JNE3487-KR-M,JNE3487,kurta,M,Peach,23
MEN5015-KR-XXL,MEN5015,kurta,XXL,Pink,4
SET286-KR-NP-S,SET286,Set,S,Maroon,33
JNE3763-KR-XXXL,JNE3763,kurta,3XL,Teal,24
SET209-KR-PP-S,SET209,Set,S,Pink,38
NW030-TP-PJ-L,NW030,Set,L,Light Pink,4
JNE3864-TU-XXL,JNE3864,Top,XXL,Blue,5
J0189-TP-XXL,J0189,Top,XXL,Orange,23
SET357-KR-NP-XXL,SET357,Set,XXL,Pink,11
JNE3837-KR-L,JNE3837,kurta,L,Black,16
J0003-SET-XXXL,J0003,Set,3XL,Mustard,9
SET345-KR-NP-L,SET345,Set,L,Pink,34
JNE3487-KR-L,JNE3487,kurta,L,Peach,6
JNE3880-DR-M,JNE3880,Western Dress,M,Peach,36
SET246-KR-PP-M,SET246,Set,M,Red,22
JNE3373-KR-S,JNE3373,kurta,S,Black,21
JNE3421-KR-XXL,JNE3421,kurta,XXL,Grey,3
SET278-KR-NP-L,SET278,Set,L,Orange,7
NW014-ST-SR-M,NW014,Set,M,Blue,44
SET044-KR-NP-XXXL,SET044,Set,3XL,Mustard,3
JNE3601-KR-XL,JNE3601,kurta,XL,Light Green,75
JNE3484-KR-XL,JNE3484,kurta,XL,Olive,7
SET182-KR-DH-M,SET182,Set,M,Black,4
JNE3670-TU-XL,JNE3670,Top,XL,White,4
JNE3797-KR-L,JNE3797,Western Dress,L,Green,5
SET304-KR-DPT-L,SET304,Set,L,Grey,22
J0351-SET-XL,J0351,Set,XL,Cream,13
JNE3861-DR-S,JNE3861,Western Dress,S,Red,12
JNE3724-KR-M,JNE3724,kurta,M,Pink,4
JNE3373-KR-XXL,JNE3373,kurta,XXL,Black,59
J0345-SET-XXXL,J0345,Set,3XL,Cream,32
J0004-SKD-XL,J0004,Set,XL,Grey,18
SET302-KR-PP-XXL,SET302,Set,XXL,Sky Blue,17
SET345-KR-NP-XXL,SET345,Set,XXL,Pink,54
JNE3837-KR-M,JNE3837,kurta,M,Black,9
JNE3838-KR-XL,JNE3838,kurta,XL,Black,2
J0122-TP-S,J0122,Top,S,White,4
NW012-TP-PJ-XS,NW012,Set,XS,Green,9
JNE3665-TP-XL,JNE3665,Top,XL,Grey,5
JNE3724-KR-L,JNE3724,kurta,L,Pink,8
JNE1234-MULTI-KR-032-L,JNE1234,kurta,L,Multicolor,24
JNE1998-KR-311-XL,JNE1998,kurta,XL,Multicolor,17
JNE3785-KR-L,JNE3785,kurta,L,CORAL ,4
JNE3427-KR-XL,JNE3427,kurta,XL,Grey,5
JNE3434-KR-XL,JNE3434,kurta,XL,Mustard,5
SET345-KR-NP-XL,SET345,Set,XL,Pink,74
JNE2265-KR-501-XL,JNE2265,kurta,XL,Purple,13
SET308-KR-PP-XL,SET308,Set,XL,Grey,43
JNE3775-KR-L,JNE3775,kurta,L,Teal,72
J0117-TP-XXL,J0117,Top,XXL,White,46
JNE3560-KR-L,JNE3560,kurta,L,Blue,138
J0391-TP-XXL,J0391,Top,XXL,Green,10
J0137-SET-XL,J0137,Set,XL,White,5
JNE3784-KR-M,JNE3784,kurta,M,Green,90
JNE3571-KR-S,JNE3571,kurta,S,Sea Green,30
JNE3560-KR-S,JNE3560,kurta,S,Blue,199
JNE3710-DR-XXL,JNE3710,Western Dress,XXL,Blue,5
J0284-SKD-S,J0284,Set,S,Sky Blue,5
SET278-KR-NP-S,SET278,Set,S,Orange,10
J0167-KR-M,J0167,kurta,M,Pink,2
JNE3800-KR-A-XL,JNE3800,Western Dress,XL,,0
SET340-KR-NP-XS,SET340,Set,XS,Maroon,5
J0281-SKD-XS,J0281,Set,XS,Light Brown,97
JNE3712-TP-N-XL,JNE3712,Top,XL,,0
JNE3373-KR-M,JNE3373,kurta,M,Black,47
JNE3366-KR-1053-XXXL,JNE3366,kurta,3XL,Peach,100
JNE3862-TU-S,JNE3862,Top,S,Maroon,12
JNE3261-KR-XXL,JNE3261,kurta,XXL,Peach,38
NW023-ST-SR-L,NW023,Set,L,Blue,32
SET291-KR-PP-L,SET291,Set,L,Teal,6
SET304-KR-DPT-XS,SET304,Set,XS,Grey,180
J0281-SKD-S,J0281,Set,S,Light Brown,155
JNE3869-DR-L,JNE3869,Western Dress,L,Pink,6
SET444-KR-SH-XXL,SET444,Set,XXL,Peach,12
JNE3856-KR-M,JNE3856,kurta,M,Pink,34
J0009-SKD-M,J0009,Set,M,Pink,88
J0402-DR-S,J0402,Western Dress,S,Teal,22
NW032-ST-CP-L,NW032,Set,L,White,19
JNE3807-KR-L,JNE3807,kurta,L,Beige,9
JNE3870-DR-XS,JNE3870,Western Dress,XS,Orange,6
SET293-KR-NP-L,SET293,Set,L,Blue,4
JNE3690-TU-S,JNE3690,Top,S,Maroon,144
JNE3801-KR-M,JNE3801,kurta,M,Pink,4
JNE3811-KR-XL,JNE3811,kurta,XL,Navy Blue,7
SET310-KR-NP-M,SET310,Set,M,Green,15
JNE3368-KR-XXL,JNE3368,kurta,XXL,Light Green,757
JNE3697-KR-XXL,JNE3697,kurta,XXL,Mauve,81
J0009-SKD-L,J0009,Set,L,Pink,30
JNE1233-BLUE-KR-031-XL,JNE1233,kurta,XL,Blue,139
SET327-KR-DPT-XS,SET327,Set,XS,Black,63
JNE3616-KR-XXXL,JNE3616,kurta,3XL,Maroon,6
J0009-SKD-XL,J0009,Set,XL,Pink,34
PJNE3399-KR-N-5XL,PJNE3399,kurta,5XL,,0
J0010-LCD-XL,J0010,Set,XL,Peach,10
SET357-KR-NP-S,SET357,Set,S,Pink,1
J0230-SKD-S,J0230,Set,S,Blue,84
SET324-KR-NP-M,SET324,Set,M,Peach,8
JNE3640-TP-N-M,JNE3640,Top,M,,0
J0108-SKD-XXL,J0108,Set,XXL,Light Green,3
PJNE1906-KR-N-4XL,PJNE1906,kurta,4XL,,0
JNE3738-KR-XS,JNE3738,kurta,XS,Green,10
JNE2032-KR-205-XS,JNE2032,kurta,XS,Teal,45
SET408-KR-NP-XS,SET408,Set,XS,Magenta,42
SET186-KR-DH-XS,SET186,Set,XS,Navy Blue,108
JNE3431-KR-XS,JNE3431,kurta,XS,Maroon,8
JNE3739-KR-XS,JNE3739,kurta,XS,Maroon,60
SET246-KR-PP-XS,SET246,Set,XS,Red,42
SET184-KR-PP-XS,SET184,Set,XS,Teal,10
JNE3634-KR-XS,JNE3634,kurta,XS,Teal,29
SET194-KR-NP-M,SET194,Set,M,Mustard,96
J0157-DR-XL,J0157,Western Dress,XL,Black,48
SET405-KR-NP-M,SET405,Set,M,Red,6
JNE3838-KR-M,JNE3838,kurta,M,Black,5
SET369-KR-NP-XL,SET369,Set,XL,Light Pink,23
J0006-SET-S,J0006,Ethnic Dress,S,Mustard,51
J0337-TP-S,J0337,Top,S,Mustard,58
NW037-TP-SR-S,NW037,Set,S,Pink,10
J0004-SKD-L,J0004,Set,L,Grey,57
SET186-KR-DH-M,SET186,Set,M,Navy Blue,94
J0344-TP-XXL,J0344,Top,XXL,Navy Blue,177
SET328-KR-NP-XL,SET328,Set,XL,Black,2
SET277-KR-NP-XL,SET277,Set,XL,Turquoise,5
