OrderID,ship_service_level,ship_city,ship_state,ship_postal_code,ship_country
171-9918163-5396330,Standard,HARIDWAR,UTTARAKHAND,249408,IN
406-0556934-4608363,Standard,LONAVALA,MAHARASHTRA,410405,IN
408-9438950-1286737,Standard,MURAKAMBATTU,ANDHRA PRADESH,517127,IN
171-1019440-1263518,Expedited,Kolkata,WEST BENGAL,700156,IN
171-3215997-9845942,Expedited,HARIDWAR,UTTARAKHAND,249408,IN
407-4313531-9038767,Standard,Surathkal,KARNATAKA,575014,IN
404-5545664-9871540,Expedited,BENGALURU,KARNATAKA,560051,IN
407-4162802-9137132,Expedited,OTTAPPALAM,KERALA,679102,IN
408-3116129-2000351,Standard,NALBARI,ASSAM,781335,IN
405-4198621-5464349,Standard,HYDERABAD,TELANGANA,500024,IN
403-3523206-6850756,Expedited,THANE,MAHARASHTRA,400603,IN
407-0038659-0625940,Standard,GREATER NOIDA,UTTAR PRADESH,201306,IN
406-7274364-9461111,Expedited,BENGALURU,KARNATAKA,560077,IN
403-0176285-9325126,Standard,MUMBAI,MAHARASHTRA,400006,IN
407-5797861-3428325,Standard,CHENNAI,TAMIL NADU,600032,IN
171-2167332-2298728,Expedited,ANUGUL,ODISHA,759122,IN
406-5407377-2423541,Expedited,BENGALURU,KARNATAKA,560068,IN
406-2093090-0448363,Standard,BENGALURU,KARNATAKA,560068,IN
404-5621888-1216352,Expedited,GHAZIABAD,UTTAR PRADESH,201009,IN
402-6797751-2261148,Expedited,Bhopal,MADHYA PRADESH,462003,IN
402-3666308-9956330,Standard,UNGUTURU,ANDHRA PRADESH,534406,IN
403-2962411-0942717,Expedited,MEERUT,UTTAR PRADESH,250004,IN
407-4176879-6571509,Expedited,NANDYAL,ANDHRA PRADESH,518502,IN
171-1527731-1523559,Expedited,BENGALURU,KARNATAKA,560068,IN
405-4164644-4606718,Expedited,UDUPI,KARNATAKA,576101,IN
406-4556619-3990733,Expedited,BHUBANESWAR,ODISHA,751003,IN
407-1408251-4150765,Expedited,Shillong,MEGHALAYA,793003,IN
171-4997988-5760352,Expedited,SURAT,Gujarat,394270,IN
403-3750512-1998749,Expedited,MEERUT,UTTAR PRADESH,250004,IN
407-1580850-5233959,Standard,GURUGRAM,HARYANA,122001,IN
406-5924131-1357156,Expedited,KRISHNAGIRI,TAMIL NADU,635002,IN
405-1966462-5293108,Standard,COIMBATORE,TAMIL NADU,641006,IN
406-0178997-7496317,Expedited,Hoskote,KARNATAKA,562114,IN
407-9554545-5274738,Expedited,THANE,MAHARASHTRA,400601,IN
407-7926766-7601961,Expedited,MUMBAI,MAHARASHTRA,400095,IN
402-2565236-1201945,Expedited,MORADABAD,UTTAR PRADESH,244001,IN
405-9238979-4709912,Expedited,KOLKATA,WEST BENGAL,700086,IN
408-3040375-7142738,Standard,BHAGALPUR,BIHAR,812002,IN
402-0889566-3202711,Expedited,BENGALURU,KARNATAKA,560062,IN
404-9509429-1100360,Standard,HYDERABAD,TELANGANA,500084,IN
404-9269001-8460318,Expedited,BHOPAL,MADHYA PRADESH,462030,IN
404-5722715-0872304,Expedited,BHUBANESWAR,ODISHA,751012,IN
404-7904459-2005156,Expedited,HYDERABAD,TELANGANA,500084,IN
405-2987514-5423533,Standard,AMBARNATH,MAHARASHTRA,421501,IN
405-1264833-6930766,Expedited,KALYAN,MAHARASHTRA,421004,IN
407-6642471-2656307,Expedited,KALIACHAK,WEST BENGAL,732201,IN
405-4486939-1624369,Standard,NEW DELHI,DELHI,110045,IN
405-4049869-1624315,Standard,BENGALURU,KARNATAKA,560005,IN
404-2093011-6135513,Standard,MATLA,WEST BENGAL,743329,IN
403-6981315-2142763,Standard,Idar,Gujarat,383410,IN
406-5282106-0629140,Standard,RAIPUR,CHHATTISGARH,492006,IN
408-5097895-3420349,Standard,SOUTH GOA,GOA,403713,IN
171-9466420-2681150,Expedited,Nagpur,MAHARASHTRA,440018,IN
404-3407352-9257141,Expedited,CHENNAI,TAMIL NADU,600125,IN
405-9954000-3547510,Expedited,Agra,UTTAR PRADESH,282005,IN
408-8226082-5202723,Standard,IDAR,Gujarat,383421,IN
402-1980078-2957907,Expedited,KOLKATA,WEST BENGAL,700039,IN
171-1364436-6646703,Standard,Nagpur,MAHARASHTRA,440018,IN
171-2226079-5255502,Expedited,KALYAN,MAHARASHTRA,421204,IN
404-4382011-4681149,Expedited,BANGALORE,KARNATAKA,560062,IN
403-4019852-0431536,Expedited,Secunderabad,TELANGANA,500010,IN
407-1726493-1589113,Expedited,PANIPAT,HARYANA,132103,IN
406-9693145-4925937,Standard,BENGALURU,KARNATAKA,560068,IN
406-3412504-2471555,Expedited,BENGALURU,KARNATAKA,560068,IN
171-8188193-6017144,Expedited,RANCHI,JHARKHAND,834009,IN
406-5418776-1588357,Expedited,THANE,MAHARASHTRA,400601,IN
171-6438077-5101921,Standard,HYDERABAD,TELANGANA,500084,IN
171-0714886-3678753,Expedited,HYDERABAD,TELANGANA,500084,IN
402-7206259-7332361,Expedited,GURUGRAM,HARYANA,122003,IN
402-1527622-0470738,Expedited,PUNE,MAHARASHTRA,411023,IN
402-9162266-1973154,Expedited,KATRA,JAMMU & KASHMIR,182301,IN
406-7464180-9175528,Expedited,GUDIYATHAM,TAMIL NADU,632602,IN
408-3182429-1357153,Standard,KHANDWA,MADHYA PRADESH,450001,IN
402-5320101-8307554,Expedited,honnavar,KARNATAKA,581334,IN
403-4420819-3530728,Expedited,CUTTACK,ODISHA,753008,IN
402-5959272-1271533,Standard,ERODE,TAMIL NADU,638001,IN
406-3041931-0742730,Expedited,GREATER NOIDA,UTTAR PRADESH,201310,IN
402-1216814-3932356,Standard,ERODE,TAMIL NADU,638001,IN
407-1412447-0282762,Standard,SURAT,Gujarat,395004,IN
402-4834760-4168365,Expedited,VISAKHAPATNAM,ANDHRA PRADESH,530011,IN
402-8420836-0737147,Standard,PERUMBAIKAD,KERALA,686008,IN
402-6474846-1741910,Expedited,KAIPAMANGALAM,KERALA,680681,IN
405-0942916-8661925,Expedited,KHANNA,PUNJAB,141401,IN
402-0161439-5558760,Expedited,HARIDWAR,UTTARAKHAND,249407,IN
408-5477809-9028343,Expedited,CHENNAI,TAMIL NADU,600045,IN
171-2891512-9517146,Expedited,MUMBAI,MAHARASHTRA,400093,IN
171-8828094-3428307,Expedited,NOIDA,UTTAR PRADESH,201309,IN
171-8180864-7814728,Expedited,RAJKOT,Gujarat,360006,IN
403-5372086-2018759,Standard,LUCKNOW,UTTAR PRADESH,226016,IN
171-8147809-2722723,Standard,TIRUPATI,ANDHRA PRADESH,517503,IN
407-0965933-2123508,Expedited,THANE,MAHARASHTRA,400604,IN
171-4599293-8087510,Expedited,Kolkata,WEST BENGAL,700156,IN
402-4578867-3853107,Expedited,HUNSUR,KARNATAKA,571105,IN
404-2896128-3436353,Standard,BENGALURU,KARNATAKA,560066,IN
406-4314377-0600356,Expedited,BENGALURU,KARNATAKA,560032,IN
407-5624282-7246765,Expedited,HYDERABAD,TELANGANA,500086,IN
407-3439616-8667531,Expedited,BALLARPUR,MAHARASHTRA,442701,IN
402-1606210-2851522,Standard,BENGALURU,KARNATAKA,560068,IN
406-8348582-7350756,Expedited,darbhanga,Bihar,846004,IN
404-1083925-0229925,Expedited,AURANGABAD,MAHARASHTRA,431001,IN
402-9414989-2958715,Expedited,Gurugram,HARYANA,122102,IN
405-5297172-0801945,Standard,DAHIVADI,MAHARASHTRA,415508,IN
404-9021029-6354765,Standard,HYDERABAD,TELANGANA,500046,IN
406-4487110-6433165,Standard,SAMASTIPUR,BIHAR,848302,IN
406-4476767-1577901,Expedited,SAMASTIPUR,BIHAR,848302,IN
406-0675253-7019544,Expedited,SAMASTIPUR,BIHAR,848302,IN
402-6149803-4991502,Expedited,KOZHIKODE,KERALA,673323,IN
406-4313407-0595535,Expedited,PAKAUR,JHARKHAND,816107,IN
406-5308133-1485101,Expedited,MUMBAI,MAHARASHTRA,400049,IN
171-7546060-1748341,Expedited,RANCHI,JHARKHAND,834003,IN
171-5706101-8377115,Standard,RANCHI,JHARKHAND,834003,IN
405-8502390-4892369,Expedited,VIJAYAWADA,ANDHRA PRADESH,520007,IN
402-2952789-8681963,Standard,BENGALURU,KARNATAKA,560078,IN
408-2481787-8248368,Expedited,HYDERABAD,TELANGANA,500075,IN
407-2821894-4542738,Standard,AMBARNATH,MAHARASHTRA,421501,IN
407-3521218-6961110,Expedited,MUMBAI,MAHARASHTRA,400101,IN
405-0628903-0749146,Standard,KOLKATA,WEST BENGAL,700001,IN
406-3528586-9409135,Expedited,SIDCUL HARIDWAR,UTTARAKHAND,249403,IN
406-7522239-7644307,Expedited,NEW DELHI,DELHI,110092,IN
402-0779723-3093169,Expedited,PEN,MAHARASHTRA,402107,IN
406-4403744-7138756,Expedited,GHAZIABAD,UTTAR PRADESH,201009,IN
407-7752324-1981925,Standard,MADHUBANI,BIHAR,847215,IN
405-1961798-8741153,Expedited,GURUGRAM,HARYANA,122006,IN
408-7821819-6780345,Expedited,PALAKKAD,KERALA,678001,IN
408-3116952-4952364,Standard,BADLAPUR,MAHARASHTRA,421503,IN
403-0548449-3457120,Standard,SHAHJAHANPUR,UTTAR PRADESH,242001,IN
405-5364953-2351516,Expedited,Suryapet (town) suryapet (dist),TELANGANA,508213,IN
171-5493338-1153162,Expedited,NAGPUR,MAHARASHTRA,440001,IN
408-3176301-0306701,Expedited,KOLKATA,WEST BENGAL,700040,IN
407-3618533-3827541,Standard,CHANDIGARH,CHANDIGARH,160022,IN
407-8651139-4766769,Expedited,PUNE,MAHARASHTRA,411023,IN
408-1010609-6207561,Expedited,Rewari,HARYANA,123401,IN
408-3541795-7931526,Expedited,Thane,MAHARASHTRA,400615,IN
402-0359535-1804377,Standard,GORAKHPUR,UTTAR PRADESH,273003,IN
405-1569233-1371560,Expedited,RAHATA,MAHARASHTRA,413712,IN
405-3336997-2474744,Standard,KANPUR,UTTAR PRADESH,208014,IN
406-3993495-4107559,Expedited,LUCKNOW,UTTAR PRADESH,226002,IN
171-0036236-3921935,Expedited,NEW DELHI,DELHI,110005,IN
405-2106143-6272325,Expedited,BENGALURU,KARNATAKA,560049,IN
404-2486874-3064315,Standard,GURUGRAM,HARYANA,122003,IN
408-5921841-7921926,Standard,THANE,MAHARASHTRA,401107,IN
405-4851911-9139548,Expedited,KOZHIKODE,KERALA,673001,IN
402-5901921-3102767,Expedited,CHENNAI,TAMIL NADU,600097,IN
171-4140106-9145107,Expedited,PALAKKAD,KERALA,678001,IN
408-9013340-4781902,Expedited,Ludhiana,Punjab,141001,IN
402-6184263-6332361,Expedited,RANIPETTAI,TAMIL NADU,632401,IN
408-7055369-7453959,Expedited,KOLKATA,WEST BENGAL,700094,IN
406-6559859-6686762,Expedited,NEW DELHI,DELHI,110031,IN
171-8290434-5636320,Expedited,NOIDA,UTTAR PRADESH,201304,IN
403-7333983-4745115,Expedited,BENGALURU,KARNATAKA,560017,IN
403-5611790-6112332,Expedited,SOLAPUR,MAHARASHTRA,413003,IN
404-7123687-7375555,Expedited,SECUNDERABAD,TELANGANA,500003,IN
171-0278108-5927522,Standard,GWALIOR,MADHYA PRADESH,474005,IN
402-8183711-8649955,Expedited,MUMBAI,MAHARASHTRA,400081,IN
404-1600597-9581902,Standard,Lakhimpur Kheri,UTTAR PRADESH,262903,IN
404-9527406-0759550,Expedited,BENGALURU,KARNATAKA,560051,IN
405-9933186-2431545,Standard,HYDERABAD,TELANGANA,500032,IN
408-6330786-7102726,Expedited,Bengaluru,KARNATAKA,560076,IN
405-9216267-2108307,Expedited,"Debra bazar, west medinipur",WEST BENGAL,721126,IN
403-0175718-0112372,Expedited,NEW DELHI,DELHI,110092,IN
404-9771865-7430718,Expedited,PUDUCHERRY,PUDUCHERRY,605007,IN
404-9683809-0005156,Standard,PUDUCHERRY,PUDUCHERRY,605007,IN
404-1577746-5870718,Expedited,PUDUCHERRY,PUDUCHERRY,605007,IN
171-0294490-8461140,Expedited,NEW DELHI,DELHI,110034,IN
406-1853806-0661166,Expedited,HYDERABAD,TELANGANA,500084,IN
171-7181239-4252331,Expedited,CHENNAI,TAMIL NADU,600042,IN
171-8997130-3005134,Expedited,"Nigdi, Pune",MAHARASHTRA,411044,IN
406-2239189-1880339,Expedited,NEW DELHI,DELHI,110034,IN
405-7876120-3400318,Expedited,MAPUSA,GOA,403510,IN
407-2467502-7449117,Standard,MUMBAI,MAHARASHTRA,400072,IN
403-2406597-2725926,Standard,DUDHI,UTTAR PRADESH,231208,IN
171-4031573-3733940,Standard,VYLATHUR,KERALA,679563,IN
403-7199736-1093952,Expedited,BHUBANESWAR,ODISHA,751022,IN
408-6339014-6185968,Expedited,KOLHAPUR,MAHARASHTRA,416235,IN
171-5433003-1080351,Standard,VYLATHUR,KERALA,679563,IN
404-2124632-6533915,Standard,BANDA,UTTAR PRADESH,210001,IN
407-6380081-7353133,Expedited,VASAI VIRAR,MAHARASHTRA,401201,IN
402-3993351-3446726,Expedited,VISAKHAPATNAM,ANDHRA PRADESH,530012,IN
403-8771333-5539519,Expedited,NAMCHI,SIKKIM,737126,IN
407-4700619-0605102,Expedited,CHENNAI,TAMIL NADU,600004,IN
404-0605969-9103565,Expedited,CHENNAI,TAMIL NADU,600033,IN
407-4239702-2669926,Expedited,KANNIYAKUMARI,TAMIL NADU,629851,IN
407-5664784-5123555,Expedited,PATNA,BIHAR,800003,IN
407-7234191-8796322,Expedited,BENGALURU,KARNATAKA,560001,IN
405-4007435-2615556,Expedited,NEW DELHI,DELHI,110071,IN
403-2870755-5337921,Standard,MUMBAI,MAHARASHTRA,400101,IN
408-1992903-4840342,Expedited,COIMBATORE,TAMIL NADU,641024,IN
408-7279788-8320331,Expedited,GURUGRAM,HARYANA,122001,IN
408-1660883-7704312,Expedited,PRODDATUR,ANDHRA PRADESH,516360,IN
408-4104547-1752318,Standard,NASHIK,MAHARASHTRA,422009,IN
407-9004848-0297160,Expedited,MUMBAI,MAHARASHTRA,400076,IN
404-4938668-9369913,Standard,MORADABAD,UTTAR PRADESH,244001,IN
171-3795888-3790745,Expedited,HYDERABAD,TELANGANA,500095,IN
402-9732371-3573103,Expedited,Dwarka,DELHI,110075,IN
402-5789132-5926724,Expedited,KATRA,JAMMU & KASHMIR,182301,IN
403-2562365-4169166,Expedited,NEW DELHI,DELHI,110009,IN
407-4836305-8521132,Expedited,Dombivli east,MAHARASHTRA,421201,IN
405-8375407-8962723,Expedited,NEW DELHI,DELHI,110029,IN
404-2475630-3600333,Expedited,Kottayam,KERALA,686562,IN
406-7076122-1215551,Expedited,CHENNAI,TAMIL NADU,600005,IN
403-5740277-2061125,Standard,NEW DELHI,DELHI,110027,IN
403-1484890-7217169,Standard,VASAI VIRAR,MAHARASHTRA,401209,IN
408-3337365-4961143,Expedited,NEW TOWN,WEST BENGAL,700156,IN
403-8133561-8489906,Standard,SIWAN,BIHAR,841226,IN
408-4944588-9707503,Standard,KIRATPUR,UTTAR PRADESH,246731,IN
407-2910865-3609942,Expedited,ASANSOL,WEST BENGAL,713301,IN
171-2553214-0313115,Expedited,NEW DELHI,DELHI,110008,IN
171-5535672-4787531,Expedited,MUMBAI,MAHARASHTRA,400053,IN
406-8971208-1589145,Expedited,PRAYAGRAJ,UTTAR PRADESH,211013,IN
405-4443320-0395517,Expedited,HOWRAH,WEST BENGAL,711102,IN
171-2308697-1799550,Expedited,NALGONDA,TELANGANA,508001,IN
171-2645438-2529140,Expedited,UTTARA KANNADA,KARNATAKA,581342,IN
405-8695046-6265145,Standard,MUMBAI,MAHARASHTRA,400008,IN
404-0291520-3568328,Expedited,Bengaluru,KARNATAKA,560030,IN
407-8822697-2190761,Expedited,SILCHAR,ASSAM,788006,IN
171-2953751-8206709,Expedited,PANISAGAR,TRIPURA,799260,IN
408-0763247-8520350,Standard,Mannuthy,KERALA,680651,IN
402-2932535-7144341,Standard,Lucknow,UTTAR PRADESH,226020,IN
402-1857810-6259541,Standard,SHILLONG,MEGHALAYA,793001,IN
403-3989086-0884335,Standard,Pimpri Chinchwad,MAHARASHTRA,411027,IN
405-7237408-0216306,Standard,GUWAHATI,ASSAM,781005,IN
408-4088229-2598741,Standard,Mumbai,MAHARASHTRA,400061,IN
403-8512624-0554733,Standard,NAGAPATTINAM,TAMIL NADU,611105,IN
408-3447928-8710752,Standard,SATARA,MAHARASHTRA,415002,IN
408-2964501-8373155,Expedited,SATARA,MAHARASHTRA,415002,IN
403-6582381-7741907,Expedited,DEHRADUN,UTTARAKHAND,248001,IN
403-3982692-4231502,Standard,VASAI VIRAR,MAHARASHTRA,401209,IN
406-3380662-9728336,Expedited,RAJAHMUNDRY,ANDHRA PRADESH,533296,IN
408-0218295-0109946,Expedited,NARASIMHANAICKENPALAYAM,TAMIL NADU,641031,IN
171-0714383-2297906,Expedited,HUZURABAD,TELANGANA,505468,IN
405-4308906-5010753,Expedited,KOHIMA,NAGALAND,797001,IN
406-3141563-3097110,Standard,HYDERABAD,TELANGANA,500030,IN
407-9754321-3661925,Expedited,JAMSHEDPUR,JHARKHAND,831018,IN
403-1324735-8563520,Expedited,"Haldia, East Madnipur",WEST BENGAL,721607,IN
402-7140748-1055556,Expedited,MUMBAI,MAHARASHTRA,400053,IN
405-6456056-1114748,Standard,MUMBAI,MAHARASHTRA,400008,IN
402-3660009-7892314,Expedited,CHENNAI,TAMIL NADU,600014,IN
405-7043487-6361128,Expedited,HOWRAH,WEST BENGAL,711103,IN
408-6272931-2872359,Standard,NARASIMHANAICKENPALAYAM,TAMIL NADU,641031,IN
404-2056073-2238716,Expedited,"Annamalai nagar, Chidambaram",TAMIL NADU,608002,IN
405-9433856-1233923,Expedited,BENGALURU,KARNATAKA,560049,IN
402-2465163-9329126,Expedited,CHENNAI,TAMIL NADU,600014,IN
404-0646999-7038726,Expedited,GURUGRAM,HARYANA,122018,IN
171-2679147-8385914,Expedited,BENGALURU,KARNATAKA,560100,IN
405-0724468-5227561,Expedited,Thane,MAHARASHTRA,400615,IN
402-2975845-7661945,Standard,KANCHANBAGH  HYDERABAD,TELANGANA,500058,IN
407-8658962-7591524,Standard,VISAKHAPATNAM,ANDHRA PRADESH,530011,IN
406-4397794-8950742,Standard,BENGALURU,KARNATAKA,560078,IN
402-1067136-1825927,Standard,NEW TOWN,WEST BENGAL,700135,IN
407-9293455-6689958,Standard,PUNE,MAHARASHTRA,411030,IN
406-7417754-0316342,Standard,NAGERCOIL,TAMIL NADU,629004,IN
171-5438821-7073127,Expedited,MARGAO,GOA,403601,IN
405-1079605-0689163,Standard,KOLKATA,WEST BENGAL,700102,IN
404-5949272-7217918,Standard,HYDERABAD,TELANGANA,500044,IN
171-4761540-9641109,Standard,BHUVANAGIRI,TAMIL NADU,608601,IN
171-6944050-5791563,Expedited,Guwahati,ASSAM,781007,IN
402-7256042-9732327,Expedited,Raipur,CHHATTISGARH,492015,IN
408-8599854-8649142,Expedited,Pune,MAHARASHTRA,411027,IN
404-7485212-8290742,Expedited,MOHALI,PUNJAB,140301,IN
407-8044963-3562744,Expedited,GHAZIABAD,UTTAR PRADESH,201012,IN
171-0106620-2575543,Expedited,AHMEDABAD,Gujarat,380015,IN
171-0014231-7760344,Expedited,AHMEDABAD,Gujarat,380015,IN
403-1130747-3793901,Expedited,PRAYAGRAJ,UTTAR PRADESH,211002,IN
404-3284275-2393927,Expedited,GUWAHATI,ASSAM,781029,IN
402-4608308-1147564,Standard,CHENGAM,TAMIL NADU,606701,IN
402-9038102-6701950,Expedited,PANRUTI,TAMIL NADU,607106,IN
404-3630643-7349952,Expedited,PANCHKULA,HARYANA,134117,IN
406-2102460-3732327,Standard,KOLKATA,WEST BENGAL,700048,IN
402-8336524-9593148,Expedited,AZAMGARH,UTTAR PRADESH,276136,IN
402-9857684-4958723,Standard,HYDERABAD,TELANGANA,500068,IN
406-1610096-5123523,Standard,BHOPAL,MADHYA PRADESH,462038,IN
405-8182350-4593961,Expedited,CHENNAI,TAMIL NADU,600021,IN
171-0667971-2811550,Standard,Attur,TAMIL NADU,636102,IN
405-0612655-0441966,Standard,PIMPRI CHINCHWAD,MAHARASHTRA,411018,IN
408-4603733-5481150,Expedited,NAVI MUMBAI,MAHARASHTRA,400614,IN
171-2616348-1042702,Expedited,Chennai,TAMIL NADU,600097,IN
408-0590867-1581969,Expedited,CHENNAI,TAMIL NADU,600091,IN
171-3953058-7177924,Standard,KADIRI,ANDHRA PRADESH,515591,IN
404-4707992-5701928,Standard,JAMMU,JAMMU & KASHMIR,180002,IN
405-2182124-9135511,Expedited,MUMBAI,MAHARASHTRA,400067,IN
405-3895167-8955515,Expedited,PUDUCHERRY,PUDUCHERRY,605010,IN
171-9516291-8133150,Expedited,BENGALURU,KARNATAKA,560022,IN
171-6282416-9160308,Expedited,BENGALURU,KARNATAKA,560022,IN
406-2963392-4625162,Expedited,RATNAGIRI,MAHARASHTRA,415612,IN
408-2624135-2103506,Expedited,PATNA,BIHAR,800006,IN
408-0221300-1497937,Standard,UDMA,KERALA,671319,IN
408-8522375-5486758,Expedited,MUMBAI,MAHARASHTRA,400094,IN
171-7847300-5210753,Expedited,NEW DELHI,DELHI,110015,IN
406-9961413-3315522,Expedited,MYSURU,KARNATAKA,570016,IN
406-7074371-7754716,Expedited,MYSURU,KARNATAKA,570016,IN
403-8160966-6969134,Standard,Secunderabad,TELANGANA,500056,IN
405-2046371-6783536,Standard,Keshod,Gujarat,362220,IN
171-3563242-3937103,Standard,MUMBAI,MAHARASHTRA,400037,IN
407-8203016-3301965,Expedited,HYDERABAD,TELANGANA,500010,IN
403-2594054-2491525,Standard,HYDERABAD,TELANGANA,500029,IN
408-0290780-7219508,Expedited,Kalyan west,MAHARASHTRA,421301,IN
407-8915211-4389169,Standard,Hyderabad,TELANGANA,500044,IN
407-0239492-8430746,Standard,Bengaluru,KARNATAKA,560067,IN
406-2842959-7327526,Standard,NOIDA,UTTAR PRADESH,201309,IN
405-9152425-3063535,Expedited,MUMBAI,MAHARASHTRA,400054,IN
171-9826680-1321168,Expedited,THAZHUTHALA,KERALA,691577,IN
406-5124752-0191544,Expedited,PATAN,Gujarat,384265,IN
404-2915115-4120362,Expedited,BENGALURU,KARNATAKA,560016,IN
408-5057837-4262765,Expedited,HYDERABAD,TELANGANA,500034,IN
405-8042155-1489153,Expedited,Thane,MAHARASHTRA,400612,IN
405-9422418-9209916,Standard,LUCKNOW,UTTAR PRADESH,226010,IN
405-6628868-6486701,Standard,COIMBATORE,TAMIL NADU,641044,IN
171-3011583-2245967,Expedited,MUMBAI,MAHARASHTRA,400104,IN
404-6992888-8901130,Standard,NEW DELHI,DELHI,110077,IN
171-2582729-9748363,Expedited,THANE,MAHARASHTRA,400605,IN
402-4362693-1270734,Expedited,HABRA,WEST BENGAL,743272,IN
171-9438404-6338721,Expedited,Pune,MAHARASHTRA,411020,IN
408-7597576-7141957,Expedited,HYDERABAD,TELANGANA,502032,IN
403-6201490-5155555,Expedited,THANE,MAHARASHTRA,400610,IN
408-1876400-4507533,Expedited,ATHIRAMPUZHA,KERALA,686562,IN
171-2865822-8208317,Expedited,MANGALORE,KARNATAKA,575006,IN
407-8311590-1101937,Standard,JAMMU,JAMMU & KASHMIR,180005,IN
